Sr,Route,Bus Name,Date,"Start Lat, Long",Expected Time,Actual time,"End Lat, Long",Expected Time,Actual time
1,10,198,WD,"""-8.734343,-63.890683""",05:30,,"""-8.735464, -63.890868""",06:45,
1,10,198,WD,"""-8.734343,-63.890683""",06:50,,"""-8.735464, -63.890868""",08:05,
1,10,198,WD,"""-8.734343,-63.890683""",08:10,,"""-8.735464, -63.890868""",09:20,
1,10,198,WD,"""-8.734343,-63.890683""",10:50,,"""-8.735464, -63.890868""",12:05,
1,10,198,WD,"""-8.734343,-63.890683""",12:10,,"""-8.735464, -63.890868""",13:25,
1,10,198,WD,"""-8.734343,-63.890683""",13:30,,"""-8.735464, -63.890868""",14:45,
1,10,198,WD,"""-8.734343,-63.890683""",14:50,,"""-8.735464, -63.890868""",16:05,
1,10,198,WD,"""-8.734343,-63.890683""",17:30,,"""-8.735464, -63.890868""",18:45,
1,10,198,WD,"""-8.734343,-63.890683""",18:50,,"""-8.735464, -63.890868""",20:05,
1,10,198,WD,"""-8.734343,-63.890683""",20:10,,"""-8.735464, -63.890868""",21:25,
1,10,198,WD,"""-8.734343,-63.890683""",21:30,,"""-8.735464, -63.890868""",22:45,
1,10,198,WD,"""-8.734343,-63.890683""",22:50,,"""-8.735464, -63.890868""",00:00,
1,10,198,SAT,"""-8.734343,-63.890683""",05:30,,"""-8.735464, -63.890868""",06:45,
1,10,198,SAT,"""-8.734343,-63.890683""",06:50,,"""-8.735464, -63.890868""",08:05,
1,10,198,SAT,"""-8.734343,-63.890683""",08:10,,"""-8.735464, -63.890868""",09:20,
1,10,198,SAT,"""-8.734343,-63.890683""",10:50,,"""-8.735464, -63.890868""",12:05,
1,10,198,SAT,"""-8.734343,-63.890683""",12:10,,"""-8.735464, -63.890868""",13:25,
1,10,198,SAT,"""-8.734343,-63.890683""",13:30,,"""-8.735464, -63.890868""",14:45,
1,10,198,SAT,"""-8.734343,-63.890683""",14:50,,"""-8.735464, -63.890868""",16:05,
1,10,198,SAT,"""-8.734343,-63.890683""",17:30,,"""-8.735464, -63.890868""",18:45,
1,10,198,SAT,"""-8.734343,-63.890683""",18:50,,"""-8.735464, -63.890868""",20:05,
1,10,198,SAT,"""-8.734343,-63.890683""",20:10,,"""-8.735464, -63.890868""",21:25,
1,10,198,SAT,"""-8.734343,-63.890683""",21:30,,"""-8.735464, -63.890868""",22:45,
1,10,198,SAT,"""-8.734343,-63.890683""",22:50,,"""-8.735464, -63.890868""",00:00,
1,10,198,SUN,"""-8.734343,-63.890683""",06:50,,"""-8.735464, -63.890868""",08:05,
1,10,198,SUN,"""-8.734343,-63.890683""",08:10,,"""-8.735464, -63.890868""",09:25,
1,10,198,SUN,"""-8.734343,-63.890683""",09:30,,"""-8.735464, -63.890868""",10:45,
1,10,198,SUN,"""-8.734343,-63.890683""",10:50,,"""-8.735464, -63.890868""",12:05,
1,10,198,SUN,"""-8.734343,-63.890683""",12:10,,"""-8.735464, -63.890868""",13:25,
1,10,198,SUN,"""-8.734343,-63.890683""",13:30,,"""-8.735464, -63.890868""",14:45,
1,10,198,SUN,"""-8.734343,-63.890683""",14:50,,"""-8.735464, -63.890868""",16:05,
1,10,198,SUN,"""-8.734343,-63.890683""",17:30,,"""-8.735464, -63.890868""",18:45,
1,10,198,SUN,"""-8.734343,-63.890683""",18:50,,"""-8.735464, -63.890868""",20:05,
1,10,198,SUN,"""-8.734343,-63.890683""",20:10,,"""-8.735464, -63.890868""",21:25,
1,10,198,SUN,"""-8.734343,-63.890683""",21:30,,"""-8.735464, -63.890868""",22:45,
1,10,198,SUN,"""-8.734343,-63.890683""",22:50,,"""-8.735464, -63.890868""",00:00,
